ICAO;IATA;Name;City;Country;Lattitude Degrees;Lattitude Minutes;Lattitude Seconds;Lattitude Direction;Longitude Degrees;Longitude Minutes;Longitude Seconds;Longitude Direction;Altitude
AYGA;GKA;GOROKA;GOROKA;PAPUA NEW GUINEA;6;4;54;S;145;23;30;E;1610
AYLA;LAE;N/A;LAE;PAPUA NEW GUINEA;0;0;0;U;0;0;0;U;0
AYMD;MAG;MADANG;MADANG;PAPUA NEW GUINEA;5;12;25;S;145;47;19;E;7
AYMH;HGU;MOUNT HAGEN;MOUNT HAGEN;PAPUA NEW GUINEA;5;49;34;S;144;17;46;E;1643
AYNZ;LAE;NADZAB;NADZAB;PAPUA NEW GUINEA;6;34;11;S;146;43;34;E;73
AYPY;POM;PORT MORESBY JACKSONS INTERNATIONAL;PORT MORESBY;PAPUA NEW GUINEA;9;26;36;S;147;13;12;E;45
AYRB;RAB;N/A;RABAUL;PAPUA NEW GUINEA;0;0;0;U;0;0;0;U;0
AYWK;WWK;WEWAK INTERNATIONAL;WEWAK;PAPUA NEW GUINEA;3;35;1;S;143;40;9;E;6
BGAM;N/A;N/A;ANGMAGSSALIK;GREENLAND;0;0;0;U;0;0;0;U;0
BGAS;N/A;N/A;ANGISSOQ;GREENLAND;0;0;0;U;0;0;0;U;0
BGAT;N/A;N/A;APUTITEQ;GREENLAND;0;0;0;U;0;0;0;U;0
BGBW;UAK;NARSARSUAQ;NARSSARSSUAQ;GREENLAND;61;9;40;N;45;25;39;W;35
BGCH;JCH;N/A;CHRISTIANSHAAB;GREENLAND;0;0;0;U;0;0;0;U;0
BGCO;N/A;NERLERIT INAAT CONSTABLE PYNT;NERLERIT INAAT;GREENLAND;70;44;22;N;22;38;45;W;14
BGDB;N/A;N/A;DANEBORG;GREENLAND;0;0;0;U;0;0;0;U;0
BGDH;N/A;N/A;DANMARKSHAVN;GREENLAND;0;0;0;U;0;0;0;U;0
BGDU;N/A;N/A;DUNDAS;GREENLAND;0;0;0;U;0;0;0;U;0
BGEM;JEG;N/A;EGEDESMINDE;GREENLAND;0;0;0;U;0;0;0;U;0
BGFD;N/A;N/A;FREDERIKSDAL;GREENLAND;0;0;0;U;0;0;0;U;0
BGFH;JFR;N/A;FREDERIKSHAAB;GREENLAND;0;0;0;U;0;0;0;U;0
BGGD;JGR;N/A;GRONNEDAL;GREENLAND;0;0;0;U;0;0;0;U;0
BGGH;GOH;NUUK;GODTHAAB;GREENLAND;64;11;27;N;51;40;41;W;87
BGGN;JGO;N/A;GODHAVN;GREENLAND;0;0;0;U;0;0;0;U;0
BGHB;JHS;N/A;HOLSTEINSBORG;GREENLAND;0;0;0;U;0;0;0;U;0
BGIS;N/A;N/A;ISORTOQ;GREENLAND;0;0;0;U;0;0;0;U;0
BGIT;N/A;N/A;IVIGTUT;GREENLAND;0;0;0;U;0;0;0;U;0
BGJH;JJU;N/A;JULIANEHAAB;GREENLAND;0;0;0;U;0;0;0;U;0
BGJN;JAV;JACOBSHAVN;JAKOBSHAVN;GREENLAND;69;14;0;N;51;4;0;W;34
BGKD;N/A;N/A;KAP DAN;GREENLAND;0;0;0;U;0;0;0;U;0
BGKK;KUS;KULUSUK;KULUSUK;GREENLAND;65;35;0;N;37;9;0;W;34
BGKM;N/A;N/A;KUNGMIUT;GREENLAND;0;0;0;U;0;0;0;U;0
BGKT;N/A;N/A;KAP TOBIN;GREENLAND;0;0;0;U;0;0;0;U;0
BGMV;N/A;N/A;MESTERS VIG;GREENLAND;0;0;0;U;0;0;0;U;0
BGNN;JNN;N/A;NANORTALIK;GREENLAND;0;0;0;U;0;0;0;U;0
BGNS;JNS;N/A;NARSSAQ;GREENLAND;0;0;0;U;0;0;0;U;0
BGOS;N/A;N/A;ORSSUIORSSUAQ;GREENLAND;0;0;0;U;0;0;0;U;0
BGPC;N/A;N/A;PRINS CHRISTIAN SUND;GREENLAND;0;0;0;U;0;0;0;U;0
BGRS;N/A;N/A;RAVNS STORO;GREENLAND;0;0;0;U;0;0;0;U;0
BGSC;N/A;N/A;SCORESBYSUND;GREENLAND;0;0;0;U;0;0;0;U;0
BGSF;SFJ;KANGERLUSSUAQ SONDRE STROMFJORD;SONDRESTROM;GREENLAND;67;1;1;N;50;41;21;W;51
BGSG;N/A;N/A;SERMILIGAO;GREENLAND;0;0;0;U;0;0;0;U;0
BGST;JSU;N/A;SUKKERTOPPEN;GREENLAND;0;0;0;U;0;0;0;U;0
BGTL;THU;THULE AIR BASE;THULE;GREENLAND;76;31;52;N;68;42;11;W;77
BGTM;N/A;N/A;TINGMIARMIUT;GREENLAND;0;0;0;U;0;0;0;U;0
BGTN;N/A;N/A;TINITEQILAQ;GREENLAND;0;0;0;U;0;0;0;U;0
BGUM;N/A;N/A;UMANAK;GREENLAND;0;0;0;U;0;0;0;U;0
BGUP;JUV;N/A;UPERNAVIK;GREENLAND;0;0;0;U;0;0;0;U;0
BIAR;AEY;AKUREYRI;AKUREYRI;ICELAND;65;39;35;N;18;4;21;W;2
BIBL;N/A;N/A;BLONDUOS;ICELAND;0;0;0;U;0;0;0;U;0
BIDV;N/A;N/A;DJUOIVOGUR;ICELAND;0;0;0;U;0;0;0;U;0
BIEG;EGS;EGILSSTADIR;EGILSSTADIR;ICELAND;65;17;0;N;14;24;5;W;24
BIFM;N/A;N/A;FAGURHOLSMYRI;ICELAND;0;0;0;U;0;0;0;U;0
BIGR;GRY;N/A;GRIMSEY;ICELAND;0;0;0;U;0;0;0;U;0
BIHN;HFN;HORNAFJORDUR;HOFN;ICELAND;64;17;44;N;15;13;38;W;8
BIHU;HZK;HUSAVIK;HUSAVIK;ICELAND;65;57;8;N;17;25;33;W;14
BIIS;IFJ;ISAFJORDUR;ISAFJORDUR;ICELAND;66;3;29;N;23;8;7;W;3
BIKF;KEF;KEFLAVIK NAS;KEFLAVIK;ICELAND;63;59;6;N;22;36;20;W;53
BIKP;OPA;KOPASKER;KOPASKER;ICELAND;66;18;49;N;16;27;40;W;7
BIKR;SAK;N/A;SAUDARKROKUR;ICELAND;0;0;0;U;0;0;0;U;0
BINF;NOR;N/A;NORDFJORDUR;ICELAND;0;0;0;U;0;0;0;U;0
BIPA;PFJ;PATREKSFJORDUR;PATREKSFJORDUR;ICELAND;65;33;21;N;23;57;54;W;4
BIRG;RFN;N/A;RAUFARHOFN;ICELAND;0;0;0;U;0;0;0;U;0
BIRK;RKV;REYKJAVIK;REYKJAVIK;ICELAND;64;7;48;N;21;56;26;W;15
BISI;SIJ;SIGLUFJORDHUR;SIGLUFJORDUR;ICELAND;66;8;0;N;18;55;0;W;4
BISS;N/A;N/A;SANDSKEID;ICELAND;0;0;0;U;0;0;0;U;0
BIST;N/A;N/A;STYKKISHOLMUR;ICELAND;0;0;0;U;0;0;0;U;0
BITE;TEY;N/A;THINGEYRI;ICELAND;0;0;0;U;0;0;0;U;0
BITH;THO;N/A;THORSHOFN;ICELAND;0;0;0;U;0;0;0;U;0
BIVM;VEY;VESTMANNAEYJAR;VESTMANNAEYJAR;ICELAND;63;25;27;N;20;16;43;W;100
BIVO;VPN;N/A;VOPNAFJORDUR;ICELAND;0;0;0;U;0;0;0;U;0
BZGD;N/A;N/A;GODLEY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
CUAP;N/A;N/A;ACTIVE PASS;CANADA;0;0;0;U;0;0;0;U;0
CUHA;YQC;N/A;QUAQTAQ;CANADA;0;0;0;U;0;0;0;U;0
CUQC;N/A;N/A;STIRLING;CANADA;0;0;0;U;0;0;0;U;0
CUUP;N/A;N/A;OTTAWA;CANADA;0;0;0;U;0;0;0;U;0
CWBF;N/A;N/A;BATTLE HARBOUR;CANADA;0;0;0;U;0;0;0;U;0
CWHJ;N/A;N/A;HOLBERG;CANADA;0;0;0;U;0;0;0;U;0
CWMK;N/A;N/A;SIMCOE;CANADA;0;0;0;U;0;0;0;U;0
CWMN;N/A;N/A;MOUNT FOREST;CANADA;0;0;0;U;0;0;0;U;0
CWOH;N/A;N/A;SAINTE AGATHE;CANADA;0;0;0;U;0;0;0;U;0
CWPC;N/A;N/A;PINCHER CREEK;CANADA;0;0;0;U;0;0;0;U;0
CWPO;N/A;N/A;PILOT MOUNT;CANADA;0;0;0;U;0;0;0;U;0
CWVA;N/A;N/A;BONAVISTA;CANADA;0;0;0;U;0;0;0;U;0
CYAB;YAB;N/A;ARCTIC BAY;CANADA;0;0;0;U;0;0;0;U;0
CYAJ;N/A;N/A;KOMAKUK;CANADA;0;0;0;U;0;0;0;U;0
CYAL;YAL;N/A;ALERT BAY;CANADA;0;0;0;U;0;0;0;U;0
CYAM;YAM;SAULT STE MARIE;SAULT SAINTE MARIE;CANADA;46;29;6;N;84;30;34;W;193
CYAV;YAV;WINNIPEG ST ANDREWS;WINNIPEG;CANADA;50;3;23;N;97;1;57;W;232
CYAW;YAW;SHEARWATER;HALIFAX;CANADA;44;38;23;N;63;29;58;W;51
CYAY;YAY;ST ANTHONY;ST. ANTHONY;CANADA;51;23;30;N;56;5;4;W;29
CYAZ;YAZ;TOFINO;TOFINO;CANADA;49;4;56;N;125;46;21;W;25
CYBA;N/A;N/A;BANFF;CANADA;0;0;0;U;0;0;0;U;0
CYBB;YBB;KUGAARUK;PELLY BAY;CANADA;68;32;4;N;89;48;29;W;18
CYBC;YBC;BAIE COMEAU;BAIE COMEAU;CANADA;49;7;56;N;68;12;26;W;22
CYBG;YBG;BAGOTVILLE;BAGOTVILLE;CANADA;48;19;50;N;70;59;47;W;160
CYBK;YBK;BAKER LAKE;BAKER LAKE;CANADA;64;17;56;N;96;4;40;W;18
CYBL;YBL;CAMPBELL RIVER;CAMPBELL RIVER;CANADA;49;57;3;N;125;16;15;W;106
CYBR;YBR;BRANDON MUNI;BRANDON;CANADA;49;54;36;N;99;57;7;W;410
CYBT;YBT;N/A;BROCHET;CANADA;0;0;0;U;0;0;0;U;0
CYCA;YRF;N/A;CARTWRIGHT;CANADA;0;0;0;U;0;0;0;U;0
CYCB;YCB;CAMBRIDGE BAY;CAMBRIDGE BAY;CANADA;69;6;29;N;105;8;18;W;28
