ID_klub;Nazwa_klub
T1;Arsenal
T2;Aston Villa
T3;Birmingham
T4;Blackburn
T5;Blackpool
T6;Bolton
T7;Bournemouth
T8;Bradford
T9;Burnley
T10;Cardiff
T11;Charlton
T12;Chelsea
T13;Coventry
T14;Crystal Palace
T15;Derby
T16;Everton
T17;Fulham
T18;Hull
T19;Ipswich
T20;Leeds
T21;Leicester
T22;Liverpool
T23;Man City
T24;Man United
T25;Middlesboro
T26;Middlesbrough
T27;Newcastle
T28;Norwich
T29;Portsmouth
T30;QPR
T31;Reading
T32;Sheffield United
T33;Southampton
T34;Stoke
T35;Sunderland
T36;Swansea
T37;Tottenham
T38;Watford
T39;West Brom
T40;West Ham
T41;Wigan
T42;Wolves
T43;Wimbledon
