mecz_id;data;gospodarz_id;gosc_id;sedzia_id;gole_gospodarz;gole_gosc;gole_do_przerwy_gospodarz;gole_do_przerwy_gosc;strzaly_gospodarz;strzaly_gosc;strzaly_celne_gospodarz;strzaly_celne_gosc;faule_gospodarz;faule_gosc;rzuty_rozne_gospodarz;rzuty_rozne_gosc;zolte_kartki_gospodarz;zolte_kartki_gosc;czerwone_kartki_gospodarz;czerwone_kartki_gosc
M1;'2015-08-08';T7;T2;R1;0;1;0;0;11;7;2;3;13;13;6;3;3;4;0;0
M2;'2015-08-08';T12;T36;R2;2;2;2;1;11;18;3;10;15;16;4;8;1;3;1;0
M3;'2015-08-08';T16;T38;R3;2;2;0;1;10;11;5;5;7;13;8;2;1;2;0;0
M4;'2015-08-08';T21;T35;R4;4;2;3;0;19;10;8;5;13;17;6;3;2;4;0;0
M5;'2015-08-08';T24;T37;R5;1;0;1;0;9;9;1;4;12;12;1;2;2;3;0;0
M6;'2015-08-08';T28;T14;R6;1;3;0;1;17;11;6;7;14;20;1;4;1;0;0;0
M7;'2015-08-09';T1;T40;R7;0;2;0;1;22;8;6;4;12;9;5;4;1;3;0;0
M8;'2015-08-09';T27;T33;R8;2;2;1;1;9;15;4;5;9;12;6;6;2;4;0;0
M9;'2015-08-09';T34;T22;R9;0;1;0;0;7;8;1;3;9;16;3;5;2;4;0;0
M10;'2015-08-10';T39;T23;R10;0;3;0;2;9;19;2;7;12;9;6;6;4;1;0;0
M11;'2015-08-14';T2;T24;R10;0;1;0;1;5;9;1;2;14;10;3;5;2;2;0;0
M12;'2015-08-15';T33;T16;R2;0;3;0;2;17;10;4;4;11;10;9;9;4;2;0;0
M13;'2015-08-15';T35;T28;R11;1;3;0;2;6;19;2;6;7;7;6;6;1;2;0;0
M14;'2015-08-15';T36;T27;R3;2;0;1;0;19;4;6;2;11;8;4;4;2;1;0;1
M15;'2015-08-15';T37;T34;R12;2;2;2;0;13;16;7;7;15;11;4;3;2;2;0;0
M16;'2015-08-15';T38;T39;R13;0;0;0;0;16;6;5;0;13;10;2;4;1;2;0;0
M17;'2015-08-15';T40;T21;R9;1;2;0;2;10;11;3;6;11;12;8;4;1;3;1;0
M18;'2015-08-16';T14;T1;R4;1;2;1;1;11;20;4;7;14;12;6;6;1;1;0;0
