id;name
AM1;Richard Barthelmess
AM2;Emil Jannings
AM3;George Bancroft
AM4;Warner Baxter
AM5;Chester Morris
AM6;Paul Muni
AM7;Lewis Stone
AM8;George Arliss
AM9;Wallace Beery
AM10;Maurice Chevalier
AM11;Ronald Colman
AM12;Lawrence Tibbett
AM13;Lionel Barrymore
AM14;Jackie Cooper
AM15;Richard Dix
AM16;Fredric March
AM17;Adolphe Menjou
AM18;Alfred Lunt
AM19;Leslie Howard
AM20;Charles Laughton
AM21;Clark Gable
AM22;Frank Morgan
AM23;William Powell
AM24;Victor McLaglen
AM25;Franchot Tone
AM26;Gary Cooper
AM27;Walter Huston
AM28;Spencer Tracy
AM29;Charles Boyer
AM30;Robert Montgomery
AM31;James Cagney
AM32;Robert Donat
AM33;Laurence Olivier
AM34;Mickey Rooney
AM35;James Stewart
AM36;Charles Chaplin
AM37;Henry Fonda
AM38;Raymond Massey
AM39;Cary Grant
AM40;Orson Welles
AM41;Walter Pidgeon
AM42;Monty Woolley
AM43;Humphrey Bogart
AM44;Paul Lukas
AM45;Bing Crosby
AM46;Barry Fitzgerald
AM47;Alexander Knox
AM48;Gene Kelly
AM49;Ray Milland
AM50;Gregory Peck
AM51;Cornel Wilde
AM52;Larry Parks
AM53;John Garfield
AM54;Michael Redgrave
AM55;Lew Ayres
AM56;Montgomery Clift
AM57;Dan Dailey
AM58;Clifton Webb
AM59;Broderick Crawford
AM60;Kirk Douglas
AM61;Richard Todd
AM62;John Wayne
AM63;Louis Calhern
AM64;Jose Ferrer
AM65;William Holden
AM66;Marlon Brando
AM67;Arthur Kennedy
AM69;Alec Guinness
AM70;Richard Burton
AM71;Burt Lancaster
AM72;James Mason
AM73;Dan O'Herlihy
AM74;Ernest Borgnine
AM75;James Dean
AM76;Frank Sinatra
AM77;Yul Brynner
AM78;Rock Hudson
AM80;Anthony Franciosa
AM81;Anthony Quinn
AM82;Tony Curtis
AM83;Paul Newman
AM84;David Niven
AM85;Sidney Poitier
AM86;Laurence Harvey
AM87;Charlton Heston
AM88;Jack Lemmon
AM89;Trevor Howard
AM90;Maximilian Schell
AM91;Stuart Whitman
AM92;Marcello Mastroianni
AM93;Peter O'Toole
AM94;Albert Finney
AM95;Richard Harris
AM96;Rex Harrison
AM97;Peter Sellers
AM98;Lee Marvin
AM99;Rod Steiger
AM100;Oskar Werner
AM101;Alan Arkin
AM102;Michael Caine
AM103;Steve McQueen
AM104;Paul Scofield
AM105;Warren Beatty
AM106;Dustin Hoffman
AM107;Alan Bates
AM108;Ron Moody
AM109;Cliff Robertson
AM110;Jon Voight
AM111;Melvyn Douglas
AM112;James Earl Jones
AM113;Jack Nicholson
AM114;Ryan O'Neal
AM115;George C. Scott
AM116;Peter Finch
AM117;Gene Hackman
AM118;Walter Matthau
AM119;Topol
AM120;Paul Winfield
AM121;Al Pacino
AM122;Robert Redford
AM123;Art Carney
AM124;James Whitmore
AM125;Robert De Niro
AM126;Giancarlo Giannini
AM127;Sylvester Stallone
AM128;Woody Allen
AM129;Richard Dreyfuss
AM130;John Travolta
AM131;Gary Busey
AM132;Roy Scheider
AM133;Robert Duvall
AM134;John Hurt
AM135;Dudley Moore
AM136;Ben Kingsley
AM137;Tom Conti
AM138;Tom Courtenay
AM139;F. Murray Abraham
AM140;Jeff Bridges
AM141;Tom Hulce
AM142;Sam Waterston
AM143;Harrison Ford
AM144;James Garner
AM145;William Hurt
AM146;Dexter Gordon
AM147;Bob Hoskins
AM148;James Woods
