award_id;award_year;award_actor_age;award_actor_id;award_actor_movie
AW1;1938;37;AM28; Captains Courageous
AW2;1928;22;AF2; Seventh Heaven  Street Angel and Sunrise: A Song of Two Humans
AW3;1928;44;AM2; The Last Command
AW4;1929;37;AF9; Coquette
AW5;1929;41;AM4; In Old Arizona
AW6;1930;62;AM8; Disraeli
AW7;1930;28;AF12; The Divorcee
AW8;1931;53;AM13; A Free Soul
AW9;1931;63;AF14; Min and Bill
AW10;1932;47;AM9; The Champ
AW11;1932;32;AF18; The Sin of Madelon Claudet
AW12;1933;35;AM16; Dr. Jekyll and Mr. Hyde
AW13;1933;26;AF19; Morning Glory
AW14;1934;31;AF22; It Happened One Night
AW15;1934;34;AM20; The Private Life of Henry VIII
AW16;1935;27;AF23; Dangerous
AW17;1935;34;AM21; It Happened One Night
AW18;1936;27;AF30; The Great Ziegfeld
AW19;1936;49;AM24; The Informer
AW20;1937;28;AF30; The Good Earth
AW21;1937;41;AM6; The Story of Louis Pasteur
AW22;1938;30;AF23; Jezebel
AW23;1939;38;AM28; Boys Town
AW24;1939;26;AF36; Gone with the Wind
AW25;1940;34;AM32; Goodbye
AW26;1940;29;AF38; Kitty Foyle
AW27;1941;24;AF37; Suspicion
AW28;1941;32;AM35; The Philadelphia Story
AW29;1942;38;AF35; Mrs. Miniver
AW30;1942;40;AM26; Sergeant York
AW31;1943;25;AF45; The Song of Bernadette
AW32;1943;43;AM31; Yankee Doodle Dandy
AW33;1944;29;AF44; Gaslight
AW34;1944;48;AM44; Watch on the Rhine
AW35;1945;41;AM45; Going My Way
AW36;1945;40;AF46; Mildred Pierce
AW37;1946;39;AM49; The Lost Weekend 
AW38;1946;30;AF40; To Each His Own
AW39;1947;49;AM16; The Best Years of Our Lives
AW40;1947;35;AF52; The Farmer's Daughter
AW41;1948;57;AM11; A Double Life
AW42;1948;32;AF49; Johnny Belinda
AW43;1949;41;AM33; Hamlet
AW44;1949;33;AF40; The Heiress
AW45;1950;38;AM59; All the King's Men
AW46;1950;29;AF56; Born Yesterday
AW47;1951;38;AF36; A Streetcar Named Desire
AW48;1951;39;AM64; Cyrano de Bergerac
AW49;1952;54;AF59; Come Back  Little Sheba
AW50;1952;52;AM43; The African Queen
AW51;1953;51;AM26; High Noon
AW52;1953;24;AF63; Roman Holiday
AW53;1954;35;AM65; Stalag 17
AW54;1954;25;AF67; The Country Girl
AW55;1955;30;AM66; On the Waterfront
AW56;1955;48;AF68; The Rose Tattoo
AW57;1956;41;AF44; Anastasia
AW58;1956;39;AM74; Marty
AW59;1957;36;AM77; The King and I
AW60;1957;28;AF73; The Three Faces of Eve
AW61;1958;41;AF50; I Want to Live!
AW62;1958;43;AM69; The Bridge on the River Kwai
AW63;1959;39;AF76; Room at the Top
AW64;1959;49;AM84; Separate Tables
AW65;1960;36;AM87; Ben-Hur
AW66;1960;29;AF71; BUtterfield 8
AW67;1961;47;AM71; Elmer Gantry
AW68;1961;27;AF79; Two Women
AW69;1962;31;AM90; Judgment at Nuremberg
AW70;1962;31;AF82; The Miracle Worker
AW71;1963;31;AF84; Hud
AW72;1963;47;AM50; To Kill a Mockingbird
AW73;1964;37;AM85; Lilies of the Field
AW74;1964;29;AF86; Mary Poppins
AW75;1965;25;AF89; Darling
AW76;1965;57;AM96; My Fair Lady
AW77;1966;42;AM98; Cat Ballou
AW78;1966;35;AF71; Who's Afraid of Virginia Woolf?
AW79;1967;45;AM104; A Man for All Seasons
AW80;1967;60;AF19; Guess Who's Coming to Dinner
AW81;1968;42;AM99; In the Heat of the Night
AW82;1968;61;AF19; The Lion in Winter
AW83;1969;45;AM109; Charly
AW84;1969;26;AF98; Funny Girl
AW85;1970;35;AF103; The Prime of Miss Jean Brodie
AW86;1970;62;AM62; True Grit
AW87;1971;43;AM115; Patton
AW88;1971;34;AF105; Women in Love
AW89;1972;34;AF100; Klute
AW90;1972;42;AM117; The French Connection
AW91;1973;27;AF101; Cabaret
AW92;1973;48;AM66; The Godfather
AW93;1974;37;AF105; A Touch of Class
AW94;1974;49;AM88; Save the Tiger
